MLST,ML,Clade,Clade_Shorten
ST1125,1125,CL-M,CM1
ST1611,1611,CL-M,CM1
ST192,192,CL-M,CM1
ST443,443,CL-M,CM1
ST675,675,CL-M,CM1
ST2163,2163,CL-M,CM1
ST2165,2165,CL-M,CM1
ST1326,1326,CL-M,CM1
ST124,124,CL-M,CM1
ST1056,1056,CL-M,CM1
ST5539,5539,CL-M,CM1
ST6033,6033,CL-M,CM1
ST539,539,CL-M,CM1
ST2536,2536,CL-M,CM1
ST4038,4038,CL-M,CM1
ST2175,2175,CL-M,CM1
ST3090,3090,CL-M,CM1
ST1423,1423,CL-M,CM1
ST442,442,CL-M,CM1
ST2040,2040,CL-M,CM1
ST191,191,CL-M,CM1
ST2541,2541,CL-M,CM1
ST2973,2973,CL-M,CM1
ST2607,2607,CL-M,CM1
ST2005,2005,CL-M,CM1
ST6015,6015,CL-M,CM1
ST2144,2144,CL-M,CM1
ST160,160,CL-M,CM1
ST2178,2178,CL-M,CM1
ST156,156,CL-M,CM1
ST348,348,CL-M,CM1
ST1727,1727,CL-M,CM1
ST2521,2521,CL-M,CM1
ST2522,2522,CL-M,CM1
ST212,212,CL-M,CM1
ST164,164,CL-M,CM1
ST906,906,CL-M,CM1
ST6079,6079,CL-M,CM1
ST101,101,CL-M,CM1
ST5424,5424,CL-M,CM1
ST6030,6030,CL-M,CM1
ST602,602,CL-M,CM1
ST1673,1673,CL-M,CM1
ST40,40,CL-M,CM1
ST297,297,CL-M,CM1
ST6004,6004,CL-M,CM1
ST737,737,CL-M,CM1
ST2248,2248,CL-M,CM1
ST949,949,CL-M,CM1
ST683,683,CL-M,CM1
ST6088,6088,CL-M,CM1
ST616,616,CL-M,CM1
ST155,155,CL-M,CM1
ST6024,6024,CL-M,CM1
ST4162,4162,CL-M,CM1
ST1049,1049,CL-M,CM1
ST767,767,CL-M,CM1
ST58,58,CL-M,CM1
ST2025,2025,CL-M,CM1
ST223,223,CL-M,CM1
ST56,56,CL-M,CM1
ST1432,1432,CL-M,CM1
ST6028,6028,CL-M,CM1
ST2628,2628,CL-M,CM1
ST345,345,CL-M,CM1
ST6101,6101,CL-M,CM1
ST3625,3625,CL-M,CM1
ST1307,1307,CL-M,CM1
ST3190,3190,CL-M,CM1
ST1730,1730,CL-M,CM1
ST1800,1800,CL-M,CM1
ST5073,5073,CL-M,CM1
ST6021,6021,CL-M,CM1
ST6026,6026,CL-M,CM1
ST517,517,CL-M,CM1
ST162,162,CL-M,CM1
ST3580,3580,CL-M,CM1
ST708,708,CL-M,CM1
ST847,847,CL-M,CM1
ST2307,2307,CL-M,CM1
ST1079,1079,CL-M,CM1
ST6073,6073,CL-M,CM1
ST1582,1582,CL-M,CM1
ST2768,2768,CL-M,CM1
ST1665,1665,CL-M,CM1
ST937,937,CL-M,CM1
ST3998,3998,CL-M,CM1
ST388,388,CL-M,CM1
ST453,453,CL-M,CM1
ST86,86,CL-M,CM1
ST1720,1720,CL-M,CM1
ST877,877,CL-M,CM1
ST6075,6075,CL-M,CM1
ST3858,3858,CL-M,CM1
ST641,641,CL-M,CM1
ST1308,1308,CL-M,CM1
ST295,295,CL-M,CM1
ST6068,6068,CL-M,CM1
ST6011,6011,CL-M,CM1
ST795,795,CL-M,CM1
