Sample_Name,ML
SB2710196081,131
SB2710196082,69
SB2710196083,1193
SB2710196085,131
SB2710196086,1193
SB2710196088,131
SB2710196090,1193
SB2710196091,131
SB2710196093,83
SB2710196094,73
SB2710196095,420
SB2710196097,1193
SB2710196102,131
SB2710196103,1193
SB2710196104,1193
SB2710196105,73
SB2710196110,131
SB2710196115,1193
SB2710196116,6091
SB2710196117,127
SB2710196118,80
SB2710196119,73
SB2710196121,73
SB2710196122,95
SB2710196123,73
SB2710196124,73
SB2710196125,73
SB2710196128,349
SB2710196130,127
SB2710196133,73
SB2710196135,38
SB2710196137,131
SB2710196138,127
SB2710196140,372
SB2710196141,10
SB2710196147,73
SB2710196149,38
SB2710196152,80
SB2710196154,127
SB2710196155,127
SB2710196156,95
SB2710196157,1193
SB2710196158,69
SB2710196242,2017
SB2710196245,1618
SB2710196246,101
SB2710196248,69
SB2710196250,58
SB2710196251,-
SB2710196252,-
SB2710196253,117
SB2710196255,328
SB2710196256,602
SB2710196257,117
SB2710196258,3168
SB2710196264,2040
SB2710196265,23
SB2710441339,540
SB2710441340,753
SB2710441343,58
SB2710441344,196
SB2710441345,58
SB2710441346,95
SB2710441349,192
SB2710441350,10
SB2710441351,345
SB2710441352,58
SB2710441353,906
SB2710441354,345
SB2710441355,362
SB2710441357,5308
SB2710441358,409
SB2710441359,4774
SB2710441360,1434
SB2710441361,117
SB2710441362,5876
SB2710441363,2531
SB2710441364,2144
SB2710441365,58
SB2710441366,409
SB2710441367,2002
SB2710441368,1429
SB2710441369,8574
SB2710441370,2035
SB2710441373,58
SB2710441375,58
SB2710441376,135
SB2710441378,2521
SB2710441384,398
SB2710441385,602
SB2710441387,-
SB2710441391,3580
SB2710441393,58
SB2710441397,345
SB2710441398,491
SB2710441402,641
SB2710441403,1434
SB2710441404,2967
SB277889315,2248
SB277889316,101
SB277889317,57
SB277889318,2705
SB277889319,399
SB277889320,602
SB277889323,10
SB277889324,6069
SB277889325,1721
SB277889327,6069
SB277889328,1844
SB277889329,5897
SB277889330,101
SB277889331,602
SB277889332,399
SB277889333,1429
SB277889334,6069
SB277889335,6069
SB277889336,2040
SB277889337,117
SB277889338,117
SB277889339,1587
SB277889340,399
SB277889341,5881
SB277889343,602
SB277889344,1158
SB277889345,58
SB277889347,6069
SB277889348,2040
SB277889349,6069
SB277889350,131
SB277889351,131
SB277889352,155
SB277889353,6069
SB277889354,602
SB277889355,2253
SB277889356,6069
SB277889357,6069
SB277889358,-
SB277889359,6069
SB277889360,501
SB277889361,134
SB277889362,155
SB277889363,6069
SB277889364,349
SB277889365,-
SB277889366,-
SB277889369,635
SB277889370,6069
SB277889373,6069
SB277889374,117
SB277889375,2171
SB277889376,6069
SB277889377,1611
SB277889378,131
SB277889379,117
SB277889380,6069
SB277889381,117
SB277889382,117
SB277889384,6069
SB277889385,345
SB277889386,93
SB277889387,58
SB277889388,937
SB277889389,117
SB277889390,6069
SB277889391,1775
SB277889392,155
SB277889393,6022
SB277889394,6069
SB277889396,117
SB277889397,9862
SB277889398,10
SB277889400,-
SB277889401,101
SB277889403,101
SB277889404,10
SB277889405,224
SB277889406,117
SB277889407,1429
SB277889408,1594
SB277889411,117
SB277889412,117
SB277889413,6069
SB277889414,351
SB277889416,162
SB277889418,224
SB277889419,134
SB277889420,38
SB277889421,5881
SB277889422,131
SB277889424,-
SB277889425,155
SB277889426,602
SB277889427,57
SB277889428,117
SB277889430,101
SB277889431,23
SB277889432,371
SB277889434,117
SB277889435,371
SB277889436,117
SB277889437,101
SB277889438,155
SB277889439,399
SB277889440,131
SB277889441,6069
SB277889442,351
SB277889444,1551
SB277889445,117
SB277889447,23
SB277889448,3107
SB277889449,6069
SB277889450,131
SB277889451,2040
SB277889452,2248
SB277889453,602
SB277889454,399
SB277889455,86
SB277889456,117
SB277889457,191
SB277889458,2040
SB277889459,1304
SB277889460,1286
SB277889461,1730
SB277889463,101
SB277889464,117
SB277889465,117
SB277889466,117
SB277889467,117
SB277889468,297
SB277889469,23
SB277889470,6069
SB277889471,117
SB277889472,57
SB277889473,117
SB277889474,3306
SB277889475,3306
