Locus	Identity	Coverage	Alignment Length	Allele Length	Gaps	Allele
adk	100.0	100.0	536	536	0	adk_6
fumC	100.0	100.0	469	469	0	fumC_4
gyrB	100.0	100.0	460	460	0	gyrB_12
icd	100.0	100.0	518	518	0	icd_1
mdh	100.0	100.0	452	452	0	mdh_20
purA	100.0	100.0	478	478	0	purA_18
recA	100.0	100.0	510	510	0	recA_7
